player_id,name,position,team,status,age,exp,dc_rank,room_order,l1_fantasy_points_half,proj_std,proj_half,proj_ppr,p10_half,p90_half,pos_rank_half
00-0037263,Tyler Allgeier,RB,ARI,ACT,26.4,4.0,2.0,2.0,116.0,72.3,80.1,79.9,9.2,168.8,45
00-0036945,Justin Fields,QB,KC,ACT,27.5,5.0,2.0,2.0,142.7,89.9,79.5,76.6,29.5,154.9,34
00-0030279,Keenan Allen,WR,IND,ACT,34.3,13.0,3.0,3.0,142.2,56.9,78.5,95.1,32.2,137.7,60
00-0041035,De'Zhaun Stribling,WR,SF,ACT,23.7,0.0,3.0,3.0,,60.5,78.4,90.9,32.1,137.6,61
00-0039811,MarShawn Lloyd,RB,GB,ACT,25.7,2.0,1.0,1.0,,74.9,78.3,89.0,31.0,146.9,46
00-0036894,Pat Freiermuth,TE,PIT,ACT,27.9,5.0,1.0,1.0,93.1,57.9,77.5,101.7,38.1,124.7,25
00-0039890,Adonai Mitchell,WR,NYJ,ACT,23.9,2.0,2.0,2.0,71.4,58.1,76.7,82.4,30.4,135.9,62
00-0041013,Emmett Johnson,RB,KC,ACT,22.9,0.0,2.0,2.0,,67.4,76.2,88.1,28.9,144.8,47
00-0036550,Rashod Bateman,WR,BAL,ACT,26.8,5.0,2.0,2.0,45.9,59.9,75.5,89.5,29.2,134.7,63
00-0036259,Jauan Jennings,WR,MIN,ACT,29.1,6.0,3.0,3.0,145.8,56.8,75.5,94.4,29.2,134.7,64
00-0033906,Alvin Kamara,RB,NO,INA,31.1,9.0,2.0,2.0,84.2,66.1,75.2,80.1,27.9,143.8,48
00-0040189,Oronde Gadsden II,TE,LAC,ACT,23.2,1.0,3.0,3.0,106.9,58.4,75.1,95.4,35.7,122.3,26
00-0036244,Colby Parkinson,TE,LA,ACT,27.6,6.0,1.0,1.0,108.3,55.2,75.1,99.4,35.7,122.3,27
00-0037838,Isaiah Likely,TE,NYG,ACT,26.4,4.0,1.0,1.0,48.2,53.4,74.8,95.1,35.4,122.0,28
00-0040584,Gunnar Helm,TE,TEN,ACT,24.0,1.0,1.0,1.0,69.7,50.0,74.1,93.9,34.7,121.3,29
00-0036309,Darnell Mooney,WR,NYG,ACT,28.8,6.0,2.0,2.0,66.3,56.6,73.6,87.5,27.3,132.8,65
00-0034829,Mike Gesicki,TE,CIN,ACT,30.9,8.0,1.0,1.0,56.7,54.2,73.3,94.6,33.9,120.5,30
00-0038611,Chris Rodriguez Jr.,RB,JAX,ACT,26.9,3.0,2.0,2.0,90.5,71.7,73.2,80.6,25.9,141.8,49
00-0041040,Antonio Williams,WR,WAS,ACT,22.1,0.0,3.0,3.0,,58.0,71.2,84.2,24.9,130.4,66
00-0038555,Tank Bigsby,RB,PHI,ACT,24.0,3.0,2.0,2.0,52.3,65.7,70.9,80.6,23.6,139.5,50
00-0038393,Dontayvion Wicks,WR,PHI,ACT,25.2,3.0,2.0,2.0,60.8,55.3,70.1,81.9,23.8,129.3,67
00-0039874,Jaylen Wright,RB,MIA,ACT,23.4,2.0,2.0,2.0,45.7,60.8,69.9,71.8,22.6,138.5,51
00-0039847,Theo Johnson,TE,NYG,ACT,25.5,2.0,2.0,2.0,105.3,52.8,69.0,81.6,29.6,116.2,31
00-0039491,Jalen Coker,WR,CAR,ACT,24.8,2.0,2.0,2.0,73.9,56.3,68.9,82.3,22.6,128.1,68
00-0040878,Mike Washington Jr.,RB,LV,ACT,23.2,0.0,2.0,2.0,,61.8,68.7,78.5,21.4,137.3,52
00-0040736,Mason Taylor,TE,NYJ,ACT,22.3,1.0,1.0,1.0,66.9,49.8,68.6,89.5,29.2,115.8,32
00-0039344,Jonathon Brooks,RB,CAR,ACT,23.1,2.0,2.0,2.0,,60.6,68.0,70.6,20.7,136.6,53
00-0037746,Brian Robinson,RB,ATL,ACT,27.4,4.0,2.0,2.0,58.5,62.2,67.3,77.1,20.0,135.9,54
00-0033858,Jonnu Smith,TE,GB,ACT,31.0,9.0,2.0,2.0,66.2,49.8,67.2,82.4,27.8,114.4,33
00-0039901,Keon Coleman,WR,BUF,ACT,23.3,2.0,3.0,3.0,83.4,53.8,66.4,72.8,20.1,125.6,69
00-0041052,Kaelon Black,RB,SF,ACT,24.9,0.0,2.0,2.0,,67.0,66.1,71.3,18.8,134.7,55
00-0038618,Xavier Hutchinson,WR,HOU,ACT,26.3,3.0,2.0,2.0,80.5,53.0,66.0,77.9,19.7,125.2,70
00-0034975,Justice Hill,RB,BAL,ACT,28.8,7.0,2.0,2.0,54.7,57.4,65.7,72.0,18.4,134.3,56
00-0033526,Samaje Perine,RB,CIN,ACT,31.0,9.0,2.0,2.0,69.4,58.5,65.4,74.1,18.1,134.0,57
00-0038454,Keaton Mitchell,RB,LAC,ACT,24.6,3.0,2.0,2.0,50.9,57.9,65.2,71.1,17.9,133.8,58
00-0037252,Greg Dulcich,TE,MIA,ACT,26.4,4.0,1.0,1.0,49.8,46.3,65.1,79.8,25.7,112.3,34
00-0038976,Marvin Mims Jr.,WR,DEN,ACT,24.5,3.0,4.0,4.0,76.5,51.0,64.7,77.2,18.4,123.9,71
00-0035700,Josh Jacobs,RB,GB,EXE,28.6,7.0,4.0,4.0,219.1,58.8,64.5,83.1,17.2,133.1,59
00-0041489,Germie Bernard,WR,PIT,ACT,22.7,0.0,4.0,4.0,,49.3,64.4,80.8,18.1,123.6,72
00-0040727,Tre Harris,WR,LAC,ACT,24.5,1.0,3.0,3.0,54.4,50.5,64.3,77.6,18.0,123.5,73
00-0041037,Denzel Boston,WR,CLE,ACT,22.7,0.0,3.0,3.0,,54.9,63.7,78.2,17.4,122.9,74
00-0033908,Cooper Kupp,WR,SEA,ACT,33.2,9.0,3.0,3.0,92.8,49.0,62.5,74.0,16.2,121.7,75
00-0035250,Devin Singletary,RB,NYG,ACT,29.0,7.0,4.0,4.0,99.8,58.3,62.0,69.2,14.7,130.6,60
00-0026158,Joe Flacco,QB,CIN,ACT,41.6,18.0,2.0,2.0,146.7,62.5,60.4,64.4,10.4,135.8,35
00-0038797,Emanuel Wilson,RB,SEA,ACT,27.3,3.0,3.0,3.0,87.0,52.5,59.3,66.1,12.0,127.9,61
00-0036290,Cole Kmet,TE,CHI,ACT,27.5,6.0,2.0,2.0,63.7,44.3,58.8,72.4,19.4,106.0,35
00-0039798,Isaiah Davis,RB,NYJ,ACT,24.5,2.0,3.0,3.0,60.7,48.9,58.8,65.9,11.5,127.4,62
00-0037005,Tommy Tremble,TE,CAR,ACT,26.2,5.0,1.0,1.0,50.4,43.5,58.7,71.6,19.3,105.9,36
00-0039391,Kimani Vidal,RB,LAC,ACT,25.0,2.0,3.0,3.0,109.9,51.2,58.4,64.4,11.1,127.0,63
00-0040078,Brashard Smith,RB,KC,ACT,23.4,1.0,3.0,3.0,50.8,48.0,58.4,68.2,11.1,127.0,64
00-0036972,Mac Jones,QB,SF,ACT,28.0,5.0,2.0,2.0,130.0,61.2,57.5,57.0,7.5,132.9,36
00-0040667,Matthew Golden,WR,GB,ACT,23.1,1.0,3.0,3.0,55.5,46.9,57.4,65.4,11.1,116.6,76
00-0041523,Caleb Douglas,WR,MIA,ACT,23.0,0.0,3.0,3.0,,44.7,57.2,67.9,10.9,116.4,77
00-0033885,David Njoku,TE,LAC,ACT,30.1,9.0,2.0,2.0,69.8,40.8,57.1,73.3,17.7,104.3,37
00-0038608,Kayshon Boutte,WR,HOU,ACT,24.3,3.0,4.0,4.0,107.6,42.4,56.9,62.7,10.6,116.1,78
00-0039164,Anthony Richardson,QB,IND,ACT,24.3,3.0,2.0,2.0,1.7,56.8,56.4,55.0,6.4,131.8,37
00-0037741,Jahan Dotson,WR,ATL,ACT,26.4,4.0,2.0,2.0,41.2,44.3,56.3,62.6,10.0,115.5,79
00-0039424,Devaughn Vele,WR,NO,ACT,28.7,2.0,2.0,2.0,53.8,42.4,55.8,60.8,9.5,115.0,80
00-0040198,Ollie Gordon II,RB,MIA,ACT,22.6,1.0,3.0,3.0,50.6,50.4,55.7,59.9,8.4,124.3,65
00-0039923,J.J. McCarthy,QB,MIN,INA,23.6,2.0,2.0,2.0,125.4,58.5,55.6,56.1,5.6,131.0,38
00-0032268,Marcus Mariota,QB,WAS,ACT,32.8,11.0,2.0,2.0,125.5,63.6,55.3,52.3,5.3,130.7,39
00-0039410,Ryan Flournoy,WR,DAL,ACT,26.8,2.0,3.0,3.0,94.0,41.1,55.1,65.5,8.8,114.3,81
00-0039794,Braelon Allen,RB,NYJ,ACT,22.6,2.0,2.0,2.0,14.3,50.3,55.1,60.1,7.8,123.7,66
00-0040718,Travis Hunter,WR,JAX,ACT,23.3,1.0,4.0,4.0,,44.2,54.9,61.7,8.6,114.1,82
00-0038104,Tyquan Thornton,WR,KC,ACT,26.1,4.0,3.0,3.0,71.3,43.3,54.7,59.7,8.4,113.9,83
00-0040669,Isaac TeSlaa,WR,DET,ACT,24.5,1.0,3.0,3.0,67.9,44.6,54.4,67.4,8.1,113.6,84
00-0037112,Jake Tonges,TE,SF,ACT,27.2,4.0,2.0,2.0,76.3,41.1,54.4,64.7,15.0,101.6,38
00-0038621,DeMario Douglas,WR,NE,ACT,25.7,3.0,3.0,3.0,80.3,44.1,54.3,65.1,8.0,113.5,85
00-0040238,LeQuint Allen Jr.,RB,JAX,ACT,22.1,1.0,3.0,3.0,19.8,48.8,53.7,65.1,6.4,122.3,67
00-0039066,Michael Mayer,TE,LV,ACT,25.2,3.0,2.0,2.0,56.3,40.0,53.5,61.3,14.1,100.7,39
00-0040870,Ja'Kobi Lane,WR,BAL,ACT,22.1,0.0,3.0,3.0,,41.6,53.5,67.2,7.2,112.7,86
00-0039342,Xavier Legette,WR,CAR,ACT,25.6,2.0,3.0,3.0,71.8,42.3,53.4,56.6,7.1,112.6,87
00-0038046,Charlie Kolar,TE,LAC,ACT,27.6,4.0,1.0,1.0,31.2,39.9,53.4,68.6,14.0,100.6,40
00-0040138,Jaylin Noel,WR,HOU,ACT,24.0,1.0,3.0,3.0,55.4,42.4,53.2,60.5,6.9,112.4,88
00-0041048,Ted Hurst III,WR,TB,ACT,22.2,0.0,4.0,4.0,,42.2,53.2,62.2,6.9,112.4,89
00-0038619,Andrei Iosivas,WR,CIN,ACT,26.9,3.0,3.0,3.0,73.4,40.5,53.0,59.1,6.7,112.2,90
00-0040705,Chimere Dike,WR,TEN,ACT,24.7,1.0,4.0,4.0,104.1,35.7,52.5,64.6,6.2,111.7,91
00-0035689,Dawson Knox,TE,BUF,ACT,29.8,7.0,2.0,2.0,85.7,43.8,51.8,64.7,12.4,99.0,41
00-0041042,Malachi Fields,WR,NYG,ACT,23.0,0.0,3.0,3.0,,41.4,51.5,60.8,5.2,110.7,92
00-0035662,Marquise Brown,WR,PHI,ACT,29.2,7.0,4.0,4.0,113.2,35.5,51.4,67.2,5.1,110.6,93
00-0041525,Chris Bell,WR,MIA,ACT,22.2,0.0,4.0,4.0,,39.2,50.7,59.2,4.4,109.9,94
00-0041044,Zachariah Branch,WR,ATL,ACT,22.4,0.0,4.0,4.0,,40.8,50.4,59.9,4.1,109.6,95
00-0038558,Darnell Washington,TE,PIT,ACT,25.0,3.0,2.0,2.0,57.9,36.9,50.0,61.9,10.6,97.2,42
00-0037801,KaVontae Turpin,WR,DAL,ACT,30.1,4.0,4.0,4.0,71.5,41.6,49.9,57.8,3.6,109.1,96
00-0039041,Elijah Higgins,TE,ARI,ACT,25.8,3.0,2.0,2.0,43.1,39.9,49.7,61.0,10.3,96.9,43
00-0039165,Zach Charbonnet,RB,SEA,RES,25.6,3.0,4.0,4.0,171.4,44.2,49.2,54.1,1.9,117.8,68
