pos,mae_rel,rho_rel,hit12,capture,year,model,fmt,draft_value
TE,47.997520048482606,0.3638195726858156,6,0.8528559543276818,2019,model,ppr,0.5095226580654683
QB,80.89629474251164,0.4696329254727475,8,0.8968187962812125,2020,model,ppr,0.4721654809701581
RB,62.504953531286525,0.38717573986116194,6,0.8344772844002429,2020,model,ppr,0.4721654809701581
WR,57.75035986455057,0.4677766253059776,4,0.89188378322687,2020,model,ppr,0.4721654809701581
TE,44.71832911896838,0.4098097651199281,6,0.8473747872299667,2020,model,ppr,0.4721654809701581
QB,60.02595177331208,0.7333602855645605,8,0.9204261585514901,2021,model,ppr,0.6122235758984573
RB,58.6579477966741,0.5947748266343392,4,0.8866696083640262,2021,model,ppr,0.6122235758984573
WR,61.052506477560016,0.4837023406607517,5,0.9020129619296967,2021,model,ppr,0.6122235758984573
TE,49.95105005548815,0.42947484370642647,8,0.874149216366339,2021,model,ppr,0.6122235758984573
QB,73.53958786587829,0.4626099706744868,6,0.8848119641558161,2022,model,ppr,0.5928046739721704
RB,62.93888232994237,0.502218786704423,7,0.8714498390349641,2022,model,ppr,0.5928046739721704
WR,52.95304635304253,0.6964543175530868,7,0.8976678863520119,2022,model,ppr,0.5928046739721704
TE,40.73851675347043,0.44217268471865195,7,0.8863512466645624,2022,model,ppr,0.5928046739721704
QB,76.58030726167705,0.5048514034139606,6,0.8446858738256405,2023,model,ppr,0.43678583982961466
RB,59.80983190602048,0.5186813186813186,5,0.8665515420828017,2023,model,ppr,0.43678583982961466
WR,57.81383634624464,0.5921546807622757,7,0.8652617771651482,2023,model,ppr,0.43678583982961466
TE,40.932207410783455,0.4600458365164247,7,0.8389176989010398,2023,model,ppr,0.43678583982961466
QB,71.60077060993632,0.5491202346041054,9,0.9193160799410519,2024,model,ppr,0.5497424294458698
RB,66.0793577816263,0.5517029764320142,8,0.881428031459743,2024,model,ppr,0.5497424294458698
WR,61.34700047686598,0.45942283727912914,5,0.9067551133592148,2024,model,ppr,0.5497424294458698
TE,48.96231402071387,0.42722897213844857,7,0.8312621870882742,2024,model,ppr,0.5497424294458698
QB,121.351875,0.08507517990417186,6,0.777829760469951,2019,prior season,ppr,0.35813964925798286
RB,89.80600000000001,0.30942452043369467,4,0.829341985019873,2019,prior season,ppr,0.35813964925798286
WR,85.69160493827161,0.21381520349655983,4,0.7979233061901582,2019,prior season,ppr,0.35813964925798286
TE,72.17297297297296,-0.030355131801656565,5,0.6783716326706257,2019,prior season,ppr,0.35813964925798286
QB,108.16666666666667,0.27608453837597335,9,0.8561327697421255,2020,prior season,ppr,0.2823601230306873
RB,99.08231884057972,0.028273608828338747,6,0.7221599663818463,2020,prior season,ppr,0.2823601230306873
WR,83.26925,0.1636914229946753,2,0.8134663094992789,2020,prior season,ppr,0.2823601230306873
TE,61.690588235294115,-0.05546642234844664,5,0.7811218932838556,2020,prior season,ppr,0.2823601230306873
QB,109.36387096774193,0.3895108599881535,8,0.8010743392694255,2021,prior season,ppr,0.3867063370123602
RB,92.80666666666667,0.15992909515957932,5,0.714524030365521,2021,prior season,ppr,0.3867063370123602
WR,81.6905,0.194126616279968,5,0.8241803048661712,2021,prior season,ppr,0.3867063370123602
TE,71.12125,0.04381703199269387,7,0.7981589172555871,2021,prior season,ppr,0.3867063370123602
QB,95.91187500000001,0.22434017595307917,7,0.8436724723401957,2022,prior season,ppr,0.46871353649775965
RB,92.04588235294116,0.22492428850093932,5,0.7911559086703688,2022,prior season,ppr,0.46871353649775965
WR,77.92800000000001,0.4531725591646871,6,0.816162798057399,2022,prior season,ppr,0.46871353649775965
TE,56.713793103448275,0.2636117270263612,5,0.8997790721028318,2022,prior season,ppr,0.46871353649775965
QB,132.5,0.09260391198044009,5,0.702468989883179,2023,prior season,ppr,0.29850499369326516
RB,94.26093749999998,0.07905801027548447,3,0.7973580007919399,2023,prior season,ppr,0.29850499369326516
WR,77.92076923076922,0.4182531378562194,7,0.8155118288354408,2023,prior season,ppr,0.29850499369326516
TE,57.02058823529413,0.1340056539933546,7,0.755917994464895,2023,prior season,ppr,0.29850499369326516
QB,126.911875,0.0907089300043981,6,0.7504774507887337,2024,prior season,ppr,0.39012949233348815
RB,82.36101694915254,0.3510792238347449,6,0.8771037048268026,2024,prior season,ppr,0.39012949233348815
WR,86.44439024390243,0.22953883341163284,4,0.8173840849408984,2024,prior season,ppr,0.39012949233348815
TE,67.37294117647059,0.001680800677225656,5,0.771183135704875,2024,prior season,ppr,0.39012949233348815
